titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Octobasse de Jean-Baptiste Vuillaume;;;Cordes;;./0161700-octobasse-jean-baptiste-vuillaume.aspx;Description de l'octobasse de Jean-Baptiste Vuillaume - vers 1850;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005300/CMIM000015244_230x230.jpg;Photographie de Octobasse de Jean-Baptiste Vuillaume;
Pochette de Antonio Stradivari;;;Cordes;;./0162025-pochette-de-antonio-stradivari.aspx;La Pochette de Antonio Stradivari - vers 1700;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009300/CMIM000015210_230x230.jpg;Photographie de Pochette de Antonio Stradivari;
Cithare sur tube Bin ou Rudra-vina;;;Cordes;;./0159145-cithare-sur-tube-bin-ou-rudra-vina.aspx;Description de la cithare sur tube Bin ou Rudra-vina - XVIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003500/CMIM000029119_230x230.jpg;Photographie de Cithare sur tube Bin ou Rudra-vina;
Théorbe de Matteo Sellas;;;Cordes;;./0161804-theorbe-matteo-sellas.aspx;Description du théorbe de Matteo Sellas - vers 1640;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005500/CMIM000019498_230x230.jpg;Photographie de Théorbe de Matteo Sellas;
Ukulélé;;;Cordes;;./0157878-ukulele-lucien-gelas.aspx;Description du Ukulélé - 1932;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002000/CMIM000019377_230x230.jpg;Photographie de Ukulélé;
Vièle kemençe;;;Cordes;;./0157913-viele-kemence.aspx;Description de la Vièle kemençe - Fin XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010700/157913_CMIM000019955_235x235.jpg;Photographie de Vièle kemençe;
Vièle Morin huur;;;Cordes;;./0939669-viele-morin-huur.aspx;Description de la Vièle Morin huur - Fin XIXe-Début XXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010500/939669_CMIM000029578_235x235.jpg;Photographie de Vièle Morin huur;
Vièle Sarangi;;;Cordes;;./0157490-viele-sarangi.aspx;Description de la Vièle Sarangi - XVIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010600/157490_CMIM000019959_235x235.jpg;Photographie de Vièle Sarangi;
Vièle Sorud;;;Cordes;;./0158901-viele-sorud-jan-mohammad.aspx;Description de la vièle Sorud - vers 1992;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003300/CMIM00018618_230X230.jpg;Photographie de Vièle Sorud;
Vièle à pique Kamanche;;;Cordes;;./0161244-viele-a-pique-kamanche.aspx;Description de la vièle à pique kamanche - XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009800/161244_CMIM000019574_230x230.jpg;Photographie de Vièle à pique Kamanche;
Vihuela de Mano;;;Cordes;;./0159084-vihuela-de-mano.aspx;Description de la vihuela de mano - XVIe siècle ou début XVIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003400/CMIM000018504_230x230.jpg;Photographie de Vihuela de Mano;
Viola Arpa de Thomas Zach;;;Cordes;;./0160886-viola-arpa-thomas-zach.aspx;La viola arpa de Thomas Zach de 1874;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009500/CMIM000013530_230x230.jpg;Photographie de Viola Arpa de Thomas Zach;
Violon ;;;Cordes;;./0160117-violon-de-campagne.aspx;Description du violon de campagne - Fin 1916;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008700/CMIM000032551_230x230.jpg;Photographie de Violon ;
